pitch,duration,offset,velocity,instrument,is_rest
65,8.0,2000.0,64,Trumpet in C,0
64,8.0,2500.0,64,Trumpet in C,0
62,4.0,3000.0,64,Trumpet in C,0
64,8.0,0.0,64,Trumpet in C,0
69,8.0,500.0,64,Trumpet in C,0
69,8.0,1000.0,64,Trumpet in C,0
67,8.0,1500.0,64,Trumpet in C,0
67,8.0,2000.0,64,Trumpet in C,0
65,8.0,2500.0,64,Trumpet in C,0
67,8.0,3000.0,64,Trumpet in C,0
69,8.0,3500.0,64,Trumpet in C,0
70,12.0,0.0,64,Trumpet in C,0
72,32.0,750.0,64,Trumpet in C,0
70,32.0,875.0,64,Trumpet in C,0
69,8.0,1000.0,64,Trumpet in C,0
74,8.0,1500.0,64,Trumpet in C,0
67,8.0,2000.0,64,Trumpet in C,0
72,8.0,2500.0,64,Trumpet in C,0
72,16.0,3000.0,64,Trumpet in C,0
74,16.0,3250.0,64,Trumpet in C,0
72,16.0,3500.0,64,Trumpet in C,0
70,16.0,3750.0,64,Trumpet in C,0
69,16.0,0.0,64,Trumpet in C,0
70,16.0,250.0,64,Trumpet in C,0
69,16.0,500.0,64,Trumpet in C,0
67,16.0,750.0,64,Trumpet in C,0
65,16.0,1000.0,64,Trumpet in C,0
67,16.0,1250.0,64,Trumpet in C,0
65,16.0,1500.0,64,Trumpet in C,0
64,16.0,1750.0,64,Trumpet in C,0
62,4.0,2000.0,64,Trumpet in C,0
62,12.0,3000.0,64,Trumpet in C,0
67,16.0,3750.0,64,Trumpet in C,0
69,4.0,0.0,64,Trumpet in C,0
,16.0,1000.0,0,Trumpet in C,1
77,16.0,1250.0,64,Trumpet in C,0
74,8.0,1500.0,64,Trumpet in C,0
"[72, 76, 79]",2.0,2000.0,64,Trumpet in C,0
,1.0,0.0,0,Trumpet in C,1
,1.0,0.0,0,Trombone (2),1
,1.0,0.0,0,Trombone (2),1
,1.0,0.0,0,Trombone (2),1
,8.0,0.0,0,Trombone (2),1
55,8.0,500.0,64,Trombone (2),0
57,8.0,1000.0,64,Trombone (2),0
59,8.0,1500.0,64,Trombone (2),0
60,12.0,2000.0,64,Trombone (2),0
62,32.0,2750.0,64,Trombone (2),0
60,32.0,2875.0,64,Trombone (2),0
59,8.0,3000.0,64,Trombone (2),0
64,8.0,3500.0,64,Trombone (2),0
57,8.0,0.0,64,Trombone (2),0
62,12.0,500.0,64,Trombone (2),0
64,16.0,1250.0,64,Trombone (2),0
62,16.0,1500.0,64,Trombone (2),0
60,16.0,1750.0,64,Trombone (2),0
59,8.0,2000.0,64,Trombone (2),0
60,4.0,2500.0,64,Trombone (2),0
58,8.0,3500.0,64,Trombone (2),0
57,8.0,0.0,64,Trombone (2),0
62,8.0,500.0,64,Trombone (2),0
55,8.0,1000.0,64,Trombone (2),0
60,8.0,1500.0,64,Trombone (2),0
60,16.0,2000.0,64,Trombone (2),0
57,16.0,2250.0,64,Trombone (2),0
59,16.0,2500.0,64,Trombone (2),0
60,16.0,2750.0,64,Trombone (2),0
62,4.0,3000.0,64,Trombone (2),0
55,1.5,0.0,64,Trombone (2),0
55,8.0,1500.0,64,Trombone (2),0
57,8.0,2000.0,64,Trombone (2),0
59,8.0,2500.0,64,Trombone (2),0
60,12.0,3000.0,64,Trombone (2),0
62,32.0,3750.0,64,Trombone (2),0
60,32.0,3875.0,64,Trombone (2),0
59,8.0,0.0,64,Trombone (2),0
64,8.0,500.0,64,Trombone (2),0
57,8.0,1000.0,64,Trombone (2),0
62,8.0,1500.0,64,Trombone (2),0
62,16.0,2000.0,64,Trombone (2),0
64,16.0,2250.0,64,Trombone (2),0
62,16.0,2500.0,64,Trombone (2),0
60,16.0,2750.0,64,Trombone (2),0
59,8.0,3000.0,64,Trombone (2),0
64,8.0,3500.0,64,Trombone (2),0
64,4.0,0.0,64,Trombone (2),0
62,4.0,1000.0,64,Trombone (2),0
62,16.0,2000.0,64,Trombone (2),0
59,16.0,2250.0,64,Trombone (2),0
60,16.0,2500.0,64,Trombone (2),0
57,16.0,2750.0,64,Trombone (2),0
64,16.0,3000.0,64,Trombone (2),0
62,16.0,3250.0,64,Trombone (2),0
60,16.0,3500.0,64,Trombone (2),0
59,16.0,3750.0,64,Trombone (2),0
60,16.0,0.0,64,Trombone (2),0
57,16.0,250.0,64,Trombone (2),0
59,16.0,500.0,64,Trombone (2),0
60,16.0,750.0,64,Trombone (2),0
62,16.0,1000.0,64,Trombone (2),0
60,16.0,1250.0,64,Trombone (2),0
59,16.0,1500.0,64,Trombone (2),0
57,16.0,1750.0,64,Trombone (2),0
55,4.0,2000.0,64,Trombone (2),0
,4.0,3000.0,0,Trombone (2),1
,1.0,0.0,0,Trombone (2),1
,8.0,0.0,0,Trombone (2),1
52,8.0,500.0,64,Trombone (2),0
54,8.0,1000.0,64,Trombone (2),0
56,8.0,1500.0,64,Trombone (2),0
57,12.0,2000.0,64,Trombone (2),0
59,32.0,2750.0,64,Trombone (2),0
57,32.0,2875.0,64,Trombone (2),0
55,8.0,3000.0,64,Trombone (2),0
60,8.0,3500.0,64,Trombone (2),0
54,8.0,0.0,64,Trombone (2),0
59,12.0,500.0,64,Trombone (2),0
60,16.0,1250.0,64,Trombone (2),0
59,16.0,1500.0,64,Trombone (2),0
57,16.0,1750.0,64,Trombone (2),0
56,8.0,2000.0,64,Trombone (2),0
57,4.0,2500.0,64,Trombone (2),0
56,8.0,3500.0,64,Trombone (2),0
57,1.5,0.0,64,Trombone (2),0
55,8.0,1500.0,64,Trombone (2),0
57,8.0,2000.0,64,Trombone (2),0
59,8.0,2500.0,64,Trombone (2),0
60,12.0,3000.0,64,Trombone (2),0
62,32.0,3750.0,64,Trombone (2),0
60,32.0,3875.0,64,Trombone (2),0
59,8.0,0.0,64,Trombone (2),0
64,8.0,500.0,64,Trombone (2),0
57,8.0,1000.0,64,Trombone (2),0
62,8.0,1500.0,64,Trombone (2),0
62,8.0,2000.0,64,Trombone (2),0
55,8.0,2500.0,64,Trombone (2),0
62,4.0,3000.0,64,Trombone (2),0
60,8.0,0.0,64,Trombone (2),0
57,8.0,500.0,64,Trombone (2),0
64,4.0,1000.0,64,Trombone (2),0
62,8.0,2000.0,64,Trombone (2),0
,8.0,2500.0,0,Trombone (2),1
,4.0,3000.0,0,Trombone (2),1
,8.0,0.0,0,Trombone (2),1
57,8.0,500.0,64,Trombone (2),0
59,8.0,1000.0,64,Trombone (2),0
61,8.0,1500.0,64,Trombone (2),0
62,12.0,2000.0,64,Trombone (2),0
64,32.0,2750.0,64,Trombone (2),0
62,32.0,2875.0,64,Trombone (2),0
60,8.0,3000.0,64,Trombone (2),0
65,8.0,3500.0,64,Trombone (2),0
59,8.0,0.0,64,Trombone (2),0
64,12.0,500.0,64,Trombone (2),0
65,16.0,1250.0,64,Trombone (2),0
64,16.0,1500.0,64,Trombone (2),0
62,16.0,1750.0,64,Trombone (2),0
61,8.0,2000.0,64,Trombone (2),0
,8.0,2500.0,0,Trombone (2),1
,4.0,3000.0,0,Trombone (2),1
,8.0,0.0,0,Trombone (2),1
57,8.0,500.0,64,Trombone (2),0
59,8.0,1000.0,64,Trombone (2),0
61,8.0,1500.0,64,Trombone (2),0
62,12.0,2000.0,64,Trombone (2),0
64,32.0,2750.0,64,Trombone (2),0
62,32.0,2875.0,64,Trombone (2),0
60,8.0,3000.0,64,Trombone (2),0
66,8.0,3500.0,64,Trombone (2),0
59,8.0,0.0,64,Trombone (2),0
64,12.0,500.0,64,Trombone (2),0
66,16.0,1250.0,64,Trombone (2),0
64,16.0,1500.0,64,Trombone (2),0
62,16.0,1750.0,64,Trombone (2),0
60,2.0,2000.0,64,Trombone (2),0
,16.0,0.0,0,Trombone (2),1
62,16.0,250.0,64,Trombone (2),0
60,16.0,500.0,64,Trombone (2),0
59,16.0,750.0,64,Trombone (2),0
57,16.0,1000.0,64,Trombone (2),0
55,16.0,1250.0,64,Trombone (2),0
57,16.0,1500.0,64,Trombone (2),0
54,16.0,1750.0,64,Trombone (2),0
55,8.0,2000.0,64,Trombone (2),0
59,8.0,2500.0,64,Trombone (2),0
60,8.0,3000.0,64,Trombone (2),0
62,8.0,3500.0,64,Trombone (2),0
64,12.0,0.0,64,Trombone (2),0
65,32.0,750.0,64,Trombone (2),0
64,32.0,875.0,64,Trombone (2),0
62,8.0,1000.0,64,Trombone (2),0
67,8.0,1500.0,64,Trombone (2),0
60,8.0,2000.0,64,Trombone (2),0
65,12.0,2500.0,64,Trombone (2),0
67,16.0,3250.0,64,Trombone (2),0
65,16.0,3500.0,64,Trombone (2),0
64,16.0,3750.0,64,Trombone (2),0
62,4.0,0.0,64,Trombone (2),0
64,8.0,1000.0,64,Trombone (2),0
62,8.0,1500.0,64,Trombone (2),0
62,8.0,2000.0,64,Trombone (2),0
55,8.0,2500.0,64,Trombone (2),0
55,4.0,3000.0,64,Trombone (2),0
55,8.0,0.0,64,Trombone (2),0
48,8.0,500.0,64,Trombone (2),0
50,8.0,1000.0,64,Trombone (2),0
52,8.0,1500.0,64,Trombone (2),0
53,12.0,2000.0,64,Trombone (2),0
55,32.0,2750.0,64,Trombone (2),0
53,32.0,2875.0,64,Trombone (2),0
52,8.0,3000.0,64,Trombone (2),0
57,8.0,3500.0,64,Trombone (2),0
50,8.0,0.0,64,Trombone (2),0
55,12.0,500.0,64,Trombone (2),0
57,16.0,1250.0,64,Trombone (2),0
55,16.0,1500.0,64,Trombone (2),0
53,16.0,1750.0,64,Trombone (2),0
52,16.0,2000.0,64,Trombone (2),0
50,16.0,2250.0,64,Trombone (2),0
52,16.0,2500.0,64,Trombone (2),0
53,16.0,2750.0,64,Trombone (2),0
55,16.0,3000.0,64,Trombone (2),0
57,16.0,3250.0,64,Trombone (2),0
58,16.0,3500.0,64,Trombone (2),0
55,16.0,3750.0,64,Trombone (2),0
57,16.0,0.0,64,Trombone (2),0
52,16.0,250.0,64,Trombone (2),0
53,16.0,500.0,64,Trombone (2),0
55,16.0,750.0,64,Trombone (2),0
57,16.0,1000.0,64,Trombone (2),0
59,16.0,1250.0,64,Trombone (2),0
60,16.0,1500.0,64,Trombone (2),0
57,16.0,1750.0,64,Trombone (2),0
62,2.0,2000.0,64,Trombone (2),0
60,1.0,0.0,64,Trombone (2),0
,1.0,0.0,0,Trombone (2),1
,1.0,0.0,0,Bassoon,1
,1.0,0.0,0,Bassoon,1
,1.0,0.0,0,Bassoon,1
,1.0,0.0,0,Bassoon,1
,2.0,0.0,0,Bassoon,1
,8.0,2000.0,0,Bassoon,1
48,8.0,2500.0,64,Bassoon,0
50,8.0,3000.0,64,Bassoon,0
52,8.0,3500.0,64,Bassoon,0
53,12.0,0.0,64,Bassoon,0
55,32.0,750.0,64,Bassoon,0
53,32.0,875.0,64,Bassoon,0
52,8.0,1000.0,64,Bassoon,0
57,8.0,1500.0,64,Bassoon,0
50,8.0,2000.0,64,Bassoon,0
55,12.0,2500.0,64,Bassoon,0
57,16.0,3250.0,64,Bassoon,0
55,16.0,3500.0,64,Bassoon,0
53,16.0,3750.0,64,Bassoon,0
52,16.0,0.0,64,Bassoon,0
53,16.0,250.0,64,Bassoon,0
52,16.0,500.0,64,Bassoon,0
50,16.0,750.0,64,Bassoon,0
48,16.0,1000.0,64,Bassoon,0
50,16.0,1250.0,64,Bassoon,0
48,16.0,1500.0,64,Bassoon,0
47,16.0,1750.0,64,Bassoon,0
45,8.0,2000.0,64,Bassoon,0
50,8.0,2500.0,64,Bassoon,0
57,8.0,3000.0,64,Bassoon,0
54,8.0,3500.0,64,Bassoon,0
55,16.0,0.0,64,Bassoon,0
57,16.0,250.0,64,Bassoon,0
58,16.0,500.0,64,Bassoon,0
55,16.0,750.0,64,Bassoon,0
49,8.0,1000.0,64,Bassoon,0
50,8.0,1500.0,64,Bassoon,0
57,4.0,2000.0,64,Bassoon,0
52,4.0,3000.0,64,Bassoon,0
57,16.0,0.0,64,Bassoon,0
59,16.0,250.0,64,Bassoon,0
60,16.0,500.0,64,Bassoon,0
62,16.0,750.0,64,Bassoon,0
60,16.0,1000.0,64,Bassoon,0
59,16.0,1250.0,64,Bassoon,0
57,16.0,1500.0,64,Bassoon,0
55,16.0,1750.0,64,Bassoon,0
60,8.0,2000.0,64,Bassoon,0
,8.0,2500.0,0,Bassoon,1
,4.0,3000.0,0,Bassoon,1
,2.0,0.0,0,Bassoon,1
,8.0,2000.0,0,Bassoon,1
43,8.0,2500.0,64,Bassoon,0
45,8.0,3000.0,64,Bassoon,0
47,8.0,3500.0,64,Bassoon,0
48,12.0,0.0,64,Bassoon,0
50,32.0,750.0,64,Bassoon,0
48,32.0,875.0,64,Bassoon,0
47,8.0,1000.0,64,Bassoon,0
52,8.0,1500.0,64,Bassoon,0
45,8.0,2000.0,64,Bassoon,0
50,12.0,2500.0,64,Bassoon,0
52,16.0,3250.0,64,Bassoon,0
50,16.0,3500.0,64,Bassoon,0
48,16.0,3750.0,64,Bassoon,0
47,8.0,0.0,64,Bassoon,0
52,4.0,500.0,64,Bassoon,0
50,8.0,1500.0,64,Bassoon,0
48,8.0,2000.0,64,Bassoon,0
53,4.0,2500.0,64,Bassoon,0
52,8.0,3500.0,64,Bassoon,0
52,8.0,0.0,64,Bassoon,0
50,4.0,500.0,64,Bassoon,0
52,8.0,1500.0,64,Bassoon,0
53,8.0,2000.0,64,Bassoon,0
52,16.0,2500.0,64,Bassoon,0
50,16.0,2750.0,64,Bassoon,0
52,4.0,3000.0,64,Bassoon,0
45,4.0,0.0,64,Bassoon,0
,4.0,1000.0,0,Bassoon,1
,2.0,2000.0,0,Bassoon,1
,8.0,0.0,0,Bassoon,1
43,8.0,500.0,64,Bassoon,0
45,8.0,1000.0,64,Bassoon,0
47,8.0,1500.0,64,Bassoon,0
48,12.0,2000.0,64,Bassoon,0
50,32.0,2750.0,64,Bassoon,0
48,32.0,2875.0,64,Bassoon,0
47,8.0,3000.0,64,Bassoon,0
52,8.0,3500.0,64,Bassoon,0
45,8.0,0.0,64,Bassoon,0
50,12.0,500.0,64,Bassoon,0
52,16.0,1250.0,64,Bassoon,0
50,16.0,1500.0,64,Bassoon,0
48,16.0,1750.0,64,Bassoon,0
47,8.0,2000.0,64,Bassoon,0
46,8.0,2500.0,64,Bassoon,0
45,8.0,3000.0,64,Bassoon,0
43,8.0,3500.0,64,Bassoon,0
45,8.0,0.0,64,Bassoon,0
54,8.0,500.0,64,Bassoon,0
55,8.0,1000.0,64,Bassoon,0
52,8.0,1500.0,64,Bassoon,0
50,4.0,2000.0,64,Bassoon,0
52,8.0,3000.0,64,Bassoon,0
53,8.0,3500.0,64,Bassoon,0
55,12.0,0.0,64,Bassoon,0
57,32.0,750.0,64,Bassoon,0
55,32.0,875.0,64,Bassoon,0
53,8.0,1000.0,64,Bassoon,0
58,8.0,1500.0,64,Bassoon,0
52,8.0,2000.0,64,Bassoon,0
57,12.0,2500.0,64,Bassoon,0
59,16.0,3250.0,64,Bassoon,0
57,16.0,3500.0,64,Bassoon,0
55,16.0,3750.0,64,Bassoon,0
53,16.0,0.0,64,Bassoon,0
52,16.0,250.0,64,Bassoon,0
53,16.0,500.0,64,Bassoon,0
50,16.0,750.0,64,Bassoon,0
55,8.0,1000.0,64,Bassoon,0
57,8.0,1500.0,64,Bassoon,0
50,2.0,2000.0,64,Bassoon,0
,16.0,0.0,0,Bassoon,1
52,16.0,250.0,64,Bassoon,0
50,16.0,500.0,64,Bassoon,0
48,16.0,750.0,64,Bassoon,0
47,16.0,1000.0,64,Bassoon,0
45,16.0,1250.0,64,Bassoon,0
43,16.0,1500.0,64,Bassoon,0
42,16.0,1750.0,64,Bassoon,0
40,8.0,2000.0,64,Bassoon,0
52,8.0,2500.0,64,Bassoon,0
54,8.0,3000.0,64,Bassoon,0
55,8.0,3500.0,64,Bassoon,0
55,8.0,0.0,64,Bassoon,0
57,16.0,500.0,64,Bassoon,0
55,16.0,750.0,64,Bassoon,0
54,8.0,1000.0,64,Bassoon,0
50,8.0,1500.0,64,Bassoon,0
55,2.0,2000.0,64,Bassoon,0
55,2.0,0.0,64,Bassoon,0
57,4.0,2000.0,64,Bassoon,0
59,8.0,3000.0,64,Bassoon,0
60,8.0,3500.0,64,Bassoon,0
53,16.0,0.0,64,Bassoon,0
57,16.0,250.0,64,Bassoon,0
55,16.0,500.0,64,Bassoon,0
53,16.0,750.0,64,Bassoon,0
52,16.0,1000.0,64,Bassoon,0
50,16.0,1250.0,64,Bassoon,0
48,16.0,1500.0,64,Bassoon,0
47,16.0,1750.0,64,Bassoon,0
48,16.0,2000.0,64,Bassoon,0
50,16.0,2250.0,64,Bassoon,0
52,16.0,2500.0,64,Bassoon,0
53,16.0,2750.0,64,Bassoon,0
55,8.0,3000.0,64,Bassoon,0
43,8.0,3500.0,64,Bassoon,0
48,1.0,0.0,64,Bassoon,0
48,1.0,0.0,64,Bassoon,0
48,1.0,0.0,64,Bassoon,0
48,1.0,0.0,64,Bassoon,0
,1.0,0.0,0,Bassoon,1
